id,level,kind,source,page,title,reading,status
N2-vocab-0060,N2,vocab,N2 Junbi Từ vựng,20,特色,とくしょく,TITLE_IN_PDF
N2-vocab-0061,N2,vocab,N2 Junbi Từ vựng,21,所有,しょゆう,TITLE_IN_PDF
N2-vocab-0062,N2,vocab,N2 Junbi Từ vựng,21,収納,しゅうのう,TITLE_IN_PDF
N2-vocab-0063,N2,vocab,N2 Junbi Từ vựng,21,用途,ようと,TITLE_IN_PDF
N2-vocab-0064,N2,vocab,N2 Junbi Từ vựng,22,行方,ゆくえ,TITLE_IN_PDF
N2-vocab-0065,N2,vocab,N2 Junbi Từ vựng,22,予測,よそく,TITLE_IN_PDF
N2-vocab-0066,N2,vocab,N2 Junbi Từ vựng,22,完了,かんりょう,TITLE_IN_PDF
N2-vocab-0067,N2,vocab,N2 Junbi Từ vựng,22,相違,そうい,TITLE_IN_PDF
N2-vocab-0068,N2,vocab,N2 Junbi Từ vựng,22,作成,さくせい,TITLE_IN_PDF
N2-vocab-0069,N2,vocab,N2 Junbi Từ vựng,22,中断,ちゅうだん,TITLE_IN_PDF
N2-vocab-0070,N2,vocab,N2 Junbi Từ vựng,23,収穫,しゅうかく,TITLE_IN_PDF
N2-vocab-0071,N2,vocab,N2 Junbi Từ vựng,24,衝突,しょうとつ,TITLE_IN_PDF
N2-vocab-0072,N2,vocab,N2 Junbi Từ vựng,24,発達,はったつ,TITLE_IN_PDF
N2-vocab-0073,N2,vocab,N2 Junbi Từ vựng,24,引退,いんたい,TITLE_IN_PDF
N2-vocab-0074,N2,vocab,N2 Junbi Từ vựng,25,順調,じゅんちょう,TITLE_IN_PDF
N2-vocab-0075,N2,vocab,N2 Junbi Từ vựng,25,提供,ていきょう,TITLE_IN_PDF
N2-vocab-0076,N2,vocab,N2 Junbi Từ vựng,25,邪魔,じゃま,TITLE_IN_PDF
N2-vocab-0077,N2,vocab,N2 Junbi Từ vựng,25,息抜き,いきぬき,TITLE_IN_PDF
N2-vocab-0078,N2,vocab,N2 Junbi Từ vựng,25,延長,えんちょう,TITLE_IN_PDF
N2-vocab-0079,N2,vocab,N2 Junbi Từ vựng,26,目上,めうえ,TITLE_IN_PDF
N2-vocab-0080,N2,vocab,N2 Junbi Từ vựng,26,反省,はんせい,TITLE_IN_PDF
N2-vocab-0081,N2,vocab,N2 Junbi Từ vựng,27,確保,かくほ,TITLE_IN_PDF
N2-vocab-0082,N2,vocab,N2 Junbi Từ vựng,27,契機,けいき,TITLE_IN_PDF
N2-vocab-0083,N2,vocab,N2 Junbi Từ vựng,27,謝り,,TITLE_IN_PDF
N2-vocab-0084,N2,vocab,N2 Junbi Từ vựng,28,臆病,おくびょう,TITLE_IN_PDF
N2-vocab-0085,N2,vocab,N2 Junbi Từ vựng,28,頂上,ちょうじょう,TITLE_IN_PDF
