id,source,page,title,status,old_len,new_len
N2-vocab-0086,N2 Junbi Từ vựng,28,節約,replaced,125,125
N2-vocab-0087,N2 Junbi Từ vựng,29,苦情,replaced,180,189
N2-vocab-0088,N2 Junbi Từ vựng,29,名所,replaced,50,50
N2-vocab-0089,N2 Junbi Từ vựng,29,記憶,replaced,76,76
N2-vocab-0090,N2 Junbi Từ vựng,29,不平,replaced,126,126
N2-vocab-0091,N2 Junbi Từ vựng,30,限定,replaced,69,59
N2-vocab-0092,N2 Junbi Từ vựng,30,論戦,replaced,60,60
N2-vocab-0093,N2 Junbi Từ vựng,30,独特,replaced,192,205
N2-vocab-0094,N2 Junbi Từ vựng,31,じたばた,replaced,87,87
N2-vocab-0095,N2 Junbi Từ vựng,31,役目,replaced,96,146
N2-vocab-0096,N2 Junbi Từ vựng,31,最寄り,replaced,89,40
N2-vocab-0097,N2 Junbi Từ vựng,31,解約,replaced,96,74
N2-vocab-0098,N2 Junbi Từ vựng,31,演説,replaced,59,59
N2-vocab-0099,N2 Junbi Từ vựng,31,点検,replaced,102,102
N2-vocab-0100,N2 Junbi Từ vựng,32,地元,replaced,159,159
N2-vocab-0101,N2 Junbi Từ vựng,33,敏感,replaced,91,81
N2-vocab-0102,N2 Junbi Từ vựng,33,保存,replaced,88,88
N2-vocab-0103,N2 Junbi Từ vựng,33,日課,replaced,76,84
N2-vocab-0104,N2 Junbi Từ vựng,34,油断,replaced,116,116
N2-vocab-0105,N2 Junbi Từ vựng,34,分担,replaced,139,123
N2-vocab-0106,N2 Junbi Từ vựng,34,同情,replaced,85,77
N2-vocab-0107,N2 Junbi Từ vựng,34,初歩,replaced,128,110
N2-vocab-0108,N2 Junbi Từ vựng,35,本物,replaced,100,100
N2-vocab-0109,N2 Junbi Từ vựng,35,あこがれ,replaced,95,95
N2-vocab-0110,N2 Junbi Từ vựng,35,転勤,replaced,71,71
N2-vocab-0111,N2 Junbi Từ vựng,36,栽培,replaced,62,52
N2-vocab-0112,N2 Junbi Từ vựng,36,動揺,replaced,87,87
N2-vocab-0113,N2 Junbi Từ vựng,36,かかりつけ,replaced,75,75
N2-vocab-0114,N2 Junbi Từ vựng,36,特殊,replaced,47,61
N2-vocab-0115,N2 Junbi Từ vựng,37,素材,replaced,81,72
N2-vocab-0116,N2 Junbi Từ vựng,37,充満,replaced,112,112
N2-vocab-0117,N2 Junbi Từ vựng,37,信頼,replaced,110,110
N2-vocab-0118,N2 Junbi Từ vựng,37,尊重,replaced,54,54
N2-vocab-0119,N2 Junbi Từ vựng,38,初期,replaced,63,63
N2-vocab-0120,N2 Junbi Từ vựng,38,欠陥,replaced,127,127
N2-vocab-0121,N2 Junbi Từ vựng,39,評価,replaced,123,125
N2-vocab-0122,N2 Junbi Từ vựng,39,診断,replaced,96,110
N2-vocab-0123,N2 Junbi Từ vựng,40,権利,replaced,118,118
N2-vocab-0124,N2 Junbi Từ vựng,40,増大,replaced,79,79
N2-vocab-0125,N2 Junbi Từ vựng,40,上達,replaced,77,77
N2-vocab-0126,N2 Junbi Từ vựng,40,視察,replaced,90,90
N2-vocab-0127,N2 Junbi Từ vựng,41,削除,replaced,72,72
N2-vocab-0128,N2 Junbi Từ vựng,41,減量,replaced,59,59
N2-vocab-0129,N2 Junbi Từ vựng,41,整備,replaced,162,162
N2-vocab-0130,N2 Junbi Từ vựng,41,視線,replaced,89,89
N2-vocab-0131,N2 Junbi Từ vựng,42,評価,replaced,123,125
N2-vocab-0132,N2 Junbi Từ vựng,42,診断,replaced,96,110
N2-vocab-0133,N2 Junbi Từ vựng,43,権利,replaced,118,118
N2-vocab-0134,N2 Junbi Từ vựng,43,増大,replaced,79,79
N2-vocab-0135,N2 Junbi Từ vựng,43,上達,replaced,67,67
N2-vocab-0136,N2 Junbi Từ vựng,43,視察,replaced,80,80
N2-vocab-0137,N2 Junbi Từ vựng,44,削除,replaced,72,72
N2-vocab-0138,N2 Junbi Từ vựng,44,減量,replaced,59,59
N2-vocab-0139,N2 Junbi Từ vựng,44,整備,replaced,162,162
N2-vocab-0140,N2 Junbi Từ vựng,44,視線,replaced,89,89
